,Open,High,Low,Close,Volume,datetime
38,221.15,221.16,219.22,219.44,235290,2026-08-27 06:00:00
38,61.49,61.5,61.3,61.3,1619,2026-08-27 07:00:00
39,345.98,346.44,345.81,346.4,7362,2026-08-27 06:30:00
39,259.27,259.36,259.19,259.26,5392,2026-08-27 06:30:00
39,219.46,220.78,219.22,220.72,203764,2026-08-27 06:30:00
39,573.8,574.28,573.0,574.03,6813,2026-08-27 06:30:00
39,275.73,276.45,275.73,276.12,452,2026-08-27 06:30:00
39,340.61,341.05,340.57,340.8,10301,2026-08-27 06:30:00
39,491.73,492.15,491.73,492.06,2732,2026-08-27 06:30:00
39,80.61,80.77,80.6,80.73,1871,2026-08-27 06:30:00
39,310.67,310.82,310.56,310.63,9391,2026-08-27 06:30:00
39,61.46,61.53,61.38,61.53,769,2026-08-27 07:30:00
40,80.76,80.76,80.54,80.55,1585,2026-08-27 07:00:00
